timestamp,arbitration_id,extended,remote,error,dlc,data
1682817661.4159925,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.4164047,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.4263325,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.426876,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.4363093,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.4367726,0xb7,0,0,0,8,82yyQQAAAAA=
1682817661.4464931,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.4469857,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.4562087,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.4569304,0xb7,0,0,0,8,WuqyQQAAAAA=
1682817661.4662352,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.4668305,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.4760711,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.476491,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.4861784,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.486784,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.4969764,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.4976435,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.506162,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5066574,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.5162935,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5174427,0xb7,0,0,0,8,swmzQQAAAAA=
1682817661.526302,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5269165,0xb7,0,0,0,8,5w6yQQAAAAA=
1682817661.5360615,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5366204,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.54629,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5469284,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.5560806,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5566325,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.5660763,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5667684,0xb7,0,0,0,8,QC6yQQAAAAA=
1682817661.5762992,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5768304,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.5861328,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.586564,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.5961316,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.5965338,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.6061063,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.606649,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.616174,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6165879,0xb7,0,0,0,8,WuqyQQAAAAA=
1682817661.626237,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6275964,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.6361573,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6367853,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.646112,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.646552,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.6561224,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6566103,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.6662807,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6670287,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.6763241,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6770792,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.6863074,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6867235,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.6961625,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.6967351,0xb7,0,0,0,8,5w6yQQAAAAA=
1682817661.706198,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.7066765,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.716225,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.7168658,0xb7,0,0,0,8,QC6yQQAAAAA=
1682817661.7261245,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.7269597,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.7359903,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.736453,0xb7,0,0,0,8,82yyQQAAAAA=
1682817661.74632,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.7469375,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.7561457,0xa9,0,0,0,8,kcIVPQAAAAA=
